oracle-run: started_at=2026-05-09T02:28:55+02:00
oracle-run: root=/home/t4ce/REPOS/TRUEOS
oracle-run: out_dir=/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest
oracle-run: render_nodes=total 0;lrwxrwxrwx 1 root root  8 May  7 23:32 pci-0000:00:02.0-card -> ../card1;lrwxrwxrwx 1 root root 13 May  7 23:32 pci-0000:00:02.0-render -> ../renderD128;lrwxrwxrwx 1 root root  8 May  7 23:32 pci-0000:01:00.0-card -> ../card2;lrwxrwxrwx 1 root root  8 May  7 23:31 pci-0000:01:00.0-platform-simple-framebuffer.0-card -> ../card0;lrwxrwxrwx 1 root root 13 May  7 23:32 pci-0000:01:00.0-render -> ../renderD129;
oracle-run: lspci=00:02.0 Display controller [0380]: Intel Corporation Raptor Lake-S GT1 [UHD Graphics 770] [8086:a780] (rev 04)
/home/t4ce/REPOS/TRUEOS/tools/intel_userland_oracle/sentinel.comp
oracle-run: build_ok=1
oracle-run: env MESA_VK_DEVICE_SELECT=8086:a780
oracle-run: env VK_LOADER_DRIVERS_SELECT=*intel*
oracle-run: env TRUEOS_ORACLE_VK_DEVICE_ID=0xA780
oracle-run: env TRUEOS_ORACLE_MAX_DUMP_BYTES=0
oracle-run: env TRUEOS_ORACLE_TRACE_STACKS=1
oracle-run: env TRUEOS_ORACLE_STACK_DEPTH=64
oracle-run: env TRUEOS_ORACLE_TRACE_SNAPSHOTS=1
oracle-run: env TRUEOS_ORACLE_REQUIRE_HW=0
oracle-run: hw_mmio=attempt-sudo-noninteractive
sudo-rs: interactive authentication is required
oracle-run: hw_mmio_sampler_unavailable reason=sudo-noninteractive-failed log=/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/hw_mmio_log.txt
trace seq=1 t_ns=97017974065689 trace-start pid=700457 out_dir="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest" max_dump_mode=full max_dump_cap=0x0 trace_stacks=1 stack_depth=64 trace_snapshots=1
trace seq=2 t_ns=97017974122481 artifact tag=start file="dumps/000001_start_proc_status.txt"
trace seq=3 t_ns=97017974152117 artifact tag=start file="dumps/000002_start_proc_maps.txt"
trace seq=4 t_ns=97017974167618 artifact tag=start file="dumps/000003_start_proc_limits.txt"
trace seq=5 t_ns=97017974268169 artifact tag=start file="dumps/000004_start_proc_mountinfo.txt"
trace seq=6 t_ns=97017974297071 artifact tag=start file="dumps/000005_start_fd.txt"
trace seq=7 t_ns=97017974378526 artifact tag=start file="dumps/000006_start_proc_smaps.txt"
trace seq=8 t_ns=97017974394006 artifact tag=start file="dumps/000007_start_environ.txt"
oracle-app: wanted vendor=0x8086 device=0xA780
oracle-app: lens macro=begin workload=one-workgroup-empty-circle lanes=8
trace seq=9 t_ns=97017976520239 open64 fd=4 flags=0x0 path="/usr/share/drirc.d/00-mesa-defaults.conf"
trace-stack seq=16 tag=close frame=7 pc=0x71e726d9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x71e726d9e094]"
trace-stack seq=16 tag=close frame=8 pc=0x71e726db4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x71e726db4684]"
trace-stack seq=16 tag=close frame=9 pc=0x55bcd0e72917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(main+0x177) [0x55bcd0e72917]"
trace-stack seq=16 tag=close frame=10 pc=0x71e726a2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x71e726a2a575]"
trace-stack seq=16 tag=close frame=11 pc=0x71e726a2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x71e726a2a628]"
trace-stack seq=16 tag=close frame=12 pc=0x55bcd0e737e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(_start+0x25) [0x55bcd0e737e5]"
trace seq=17 t_ns=97017977340970 open64 fd=4 flags=0x0 path="/usr/share/drirc.d/00-mesa-defaults.conf"
trace seq=18 t_ns=97017977419099 stack tag=open64 pid=700457 tid=700457 depth=14
trace-stack seq=18 tag=open64 frame=0 pc=0x71e726e025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(+0x25f0) [0x71e726e025f0]"
trace-stack seq=18 tag=open64 frame=1 pc=0x71e726e02bdd symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(open64+0xed) [0x71e726e02bdd]"
trace-stack seq=18 tag=open64 frame=2 pc=0x71e72454b23d symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b23d) [0x71e72454b23d]"
trace-stack seq=18 tag=open64 frame=3 pc=0x71e72454b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x71e72454b4a8]"
trace-stack seq=18 tag=open64 frame=4 pc=0x71e72454d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x71e72454d07f]"
trace-stack seq=18 tag=open64 frame=5 pc=0x71e723e78fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x71e723e78fdb]"
trace-stack seq=18 tag=open64 frame=6 pc=0x71e726da39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x71e726da39cd]"
trace-stack seq=18 tag=open64 frame=7 pc=0x71e7257ebb28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x71e7257ebb28]"
trace-stack seq=18 tag=open64 frame=8 pc=0x71e726d9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x71e726d9e094]"
trace-stack seq=18 tag=open64 frame=9 pc=0x71e726db4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x71e726db4684]"
trace-stack seq=18 tag=open64 frame=10 pc=0x55bcd0e72917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(main+0x177) [0x55bcd0e72917]"
trace-stack seq=18 tag=open64 frame=11 pc=0x71e726a2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x71e726a2a575]"
trace-stack seq=18 tag=open64 frame=12 pc=0x71e726a2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x71e726a2a628]"
trace-stack seq=18 tag=open64 frame=13 pc=0x55bcd0e737e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(_start+0x25) [0x55bcd0e737e5]"
trace seq=19 t_ns=97017977913944 close fd=4 path="/usr/share/drirc.d/00-mesa-defaults.conf"
trace seq=20 t_ns=97017977940224 stack tag=close pid=700457 tid=700457 depth=13
trace-stack seq=20 tag=close frame=0 pc=0x71e726e025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(+0x25f0) [0x71e726e025f0]"
trace-stack seq=20 tag=close frame=1 pc=0x71e726e02e9a symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(close+0x8a) [0x71e726e02e9a]"
trace-stack seq=20 tag=close frame=2 pc=0x71e72454b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x71e72454b4a8]"
trace-stack seq=20 tag=close frame=3 pc=0x71e72454d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x71e72454d07f]"
trace-stack seq=20 tag=close frame=4 pc=0x71e723e78fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x71e723e78fdb]"
trace-stack seq=20 tag=close frame=5 pc=0x71e726da39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x71e726da39cd]"
trace-stack seq=20 tag=close frame=6 pc=0x71e7257ebb28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x71e7257ebb28]"
trace-stack seq=20 tag=close frame=7 pc=0x71e726d9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x71e726d9e094]"
trace-stack seq=20 tag=close frame=8 pc=0x71e726db4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x71e726db4684]"
trace-stack seq=20 tag=close frame=9 pc=0x55bcd0e72917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(main+0x177) [0x55bcd0e72917]"
trace-stack seq=20 tag=close frame=10 pc=0x71e726a2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x71e726a2a575]"
trace-stack seq=20 tag=close frame=11 pc=0x71e726a2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x71e726a2a628]"
trace-stack seq=20 tag=close frame=12 pc=0x55bcd0e737e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(_start+0x25) [0x55bcd0e737e5]"
trace seq=21 t_ns=97017977952489 open64 fd=4 flags=0x0 path="/usr/share/drirc.d/00-radv-defaults.conf"
trace seq=22 t_ns=97017977973664 stack tag=open64 pid=700457 tid=700457 depth=14
trace-stack seq=22 tag=open64 frame=0 pc=0x71e726e025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(+0x25f0) [0x71e726e025f0]"
trace-stack seq=22 tag=open64 frame=1 pc=0x71e726e02bdd symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(open64+0xed) [0x71e726e02bdd]"
trace-stack seq=22 tag=open64 frame=2 pc=0x71e72454b23d symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b23d) [0x71e72454b23d]"
trace-stack seq=22 tag=open64 frame=3 pc=0x71e72454b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x71e72454b4a8]"
trace-stack seq=22 tag=open64 frame=4 pc=0x71e72454d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x71e72454d07f]"
trace-stack seq=22 tag=open64 frame=5 pc=0x71e723e78fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x71e723e78fdb]"
trace-stack seq=22 tag=open64 frame=6 pc=0x71e726da39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x71e726da39cd]"
trace-stack seq=22 tag=open64 frame=7 pc=0x71e7257ebb28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x71e7257ebb28]"
trace-stack seq=22 tag=open64 frame=8 pc=0x71e726d9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x71e726d9e094]"
trace-stack seq=22 tag=open64 frame=9 pc=0x71e726db4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x71e726db4684]"
trace-stack seq=22 tag=open64 frame=10 pc=0x55bcd0e72917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(main+0x177) [0x55bcd0e72917]"
trace-stack seq=22 tag=open64 frame=11 pc=0x71e726a2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x71e726a2a575]"
trace-stack seq=22 tag=open64 frame=12 pc=0x71e726a2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x71e726a2a628]"
trace-stack seq=22 tag=open64 frame=13 pc=0x55bcd0e737e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(_start+0x25) [0x55bcd0e737e5]"
trace seq=23 t_ns=97017978054988 close fd=4 path="/usr/share/drirc.d/00-radv-defaults.conf"
trace seq=24 t_ns=97017978076090 stack tag=close pid=700457 tid=700457 depth=13
trace-stack seq=24 tag=close frame=0 pc=0x71e726e025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(+0x25f0) [0x71e726e025f0]"
trace-stack seq=24 tag=close frame=1 pc=0x71e726e02e9a symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/libtrueos_ioctl_trace.so(close+0x8a) [0x71e726e02e9a]"
trace-stack seq=24 tag=close frame=2 pc=0x71e72454b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x71e72454b4a8]"
trace-stack seq=24 tag=close frame=3 pc=0x71e72454d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x71e72454d07f]"
trace-stack seq=24 tag=close frame=4 pc=0x71e723e78fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x71e723e78fdb]"
trace-stack seq=24 tag=close frame=5 pc=0x71e726da39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x71e726da39cd]"
trace-stack seq=24 tag=close frame=6 pc=0x71e7257ebb28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x71e7257ebb28]"
trace-stack seq=24 tag=close frame=7 pc=0x71e726d9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x71e726d9e094]"
trace-stack seq=24 tag=close frame=8 pc=0x71e726db4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x71e726db4684]"
trace-stack seq=24 tag=close frame=9 pc=0x55bcd0e72917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(main+0x177) [0x55bcd0e72917]"
trace-stack seq=24 tag=close frame=10 pc=0x71e726a2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x71e726a2a575]"
trace-stack seq=24 tag=close frame=11 pc=0x71e726a2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x71e726a2a628]"
trace-stack seq=24 tag=close frame=12 pc=0x55bcd0e737e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/latest/build/vk_compute_sentinel(_start+0x25) [0x55bcd0e737e5]"
trace seq=25 t_ns=97017978532756 open64 fd=4 flags=0x80002 path="/dev/dri/renderD128"
trace seq=26 t_ns=97017978575552 stack tag=open64 pid=700457 tid=700457 depth=14
